trial: 0
RL-Glue Python Experiment Codec Version: 2.02 (Build 738)
	Connecting to 127.0.0.1 on port 4096...
Experiment 1	 Episode 227	 63 steps 	70.0 total reward	 1 natural end
Experiment 1	 Episode 228	 62 steps 	50.0 total reward	 1 natural end
Experiment 1	 Episode 229	 71 steps 	100.0 total reward	 1 natural end
Experiment 1	 Episode 230	 65 steps 	40.0 total reward	 1 natural end
Experiment 1	 Episode 231	 93 steps 	90.0 total reward	 1 natural end
Experiment 1	 Episode 232	 68 steps 	35.0 total reward	 1 natural end
Experiment 1	 Episode 233	 50 steps 	0.0 total reward	 1 natural end
Experiment 1	 Episode 234	 65 steps 	0.0 total reward	 1 natural end
Experiment 1	 Episode 235	 82 steps 	95.0 total reward	 1 natural end
Experiment 1	 Episode 236	 69 steps 	245.0 total reward	 1 natural end
Experiment 1	 Episode 237	 63 steps 	100.0 total reward	 1 natural end
Experiment 1	 Episode 238	 67 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 239	 109 steps 	415.0 total reward	 1 natural end
Experiment 1	 Episode 240	 94 steps 	160.0 total reward	 1 natural end
Experiment 1	 Episode 241	 111 steps 	255.0 total reward	 1 natural end
Experiment 1	 Episode 242	 73 steps 	175.0 total reward	 1 natural end
Experiment 1	 Episode 243	 63 steps 	55.0 total reward	 1 natural end
Experiment 1	 Episode 244	 63 steps 	130.0 total reward	 1 natural end
Experiment 1	 Episode 245	 123 steps 	170.0 total reward	 1 natural end
Experiment 1	 Episode 246	 62 steps 	55.0 total reward	 1 natural end
Experiment 1	 Episode 247	 80 steps 	170.0 total reward	 1 natural end
Experiment 1	 Episode 248	 95 steps 	200.0 total reward	 1 natural end
Experiment 1	 Episode 249	 69 steps 	155.0 total reward	 1 natural end
Experiment 1	 Episode 250	 54 steps 	170.0 total reward	 1 natural end
Experiment 1	 Episode 251	 49 steps 	120.0 total reward	 1 natural end
Experiment 1	 Episode 252	 98 steps 	185.0 total reward	 1 natural end
Experiment 1	 Episode 253	 123 steps 	150.0 total reward	 1 natural end
Experiment 1	 Episode 254	 62 steps 	55.0 total reward	 1 natural end
Experiment 1	 Episode 255	 94 steps 	350.0 total reward	 1 natural end
Experiment 1	 Episode 256	 80 steps 	195.0 total reward	 1 natural end
Experiment 1	 Episode 257	 66 steps 	185.0 total reward	 1 natural end
Experiment 1	 Episode 258	 95 steps 	200.0 total reward	 1 natural end
Experiment 1	 Episode 259	 101 steps 	145.0 total reward	 1 natural end
Experiment 1	 Episode 260	 97 steps 	195.0 total reward	 1 natural end
Experiment 1	 Episode 261	 66 steps 	100.0 total reward	 1 natural end
Experiment 1	 Episode 262	 63 steps 	130.0 total reward	 1 natural end
Experiment 1	 Episode 263	 69 steps 	125.0 total reward	 1 natural end
Experiment 1	 Episode 264	 64 steps 	65.0 total reward	 1 natural end
Experiment 1	 Episode 265	 64 steps 	55.0 total reward	 1 natural end
Experiment 1	 Episode 266	 66 steps 	15.0 total reward	 1 natural end
Experiment 1	 Episode 267	 67 steps 	30.0 total reward	 1 natural end
Experiment 1	 Episode 268	 64 steps 	0.0 total reward	 1 natural end
Experiment 1	 Episode 269	 67 steps 	50.0 total reward	 1 natural end
Experiment 1	 Episode 270	 124 steps 	120.0 total reward	 1 natural end
Experiment 1	 Episode 271	 41 steps 	15.0 total reward	 1 natural end
Experiment 1	 Episode 272	 55 steps 	15.0 total reward	 1 natural end
Experiment 1	 Episode 273	 62 steps 	50.0 total reward	 1 natural end
Experiment 1	 Episode 274	 124 steps 	155.0 total reward	 1 natural end
Experiment 1	 Episode 275	 44 steps 	70.0 total reward	 1 natural end
Experiment 1	 Episode 276	 70 steps 	150.0 total reward	 1 natural end
Experiment 1	 Episode 277	 108 steps 	265.0 total reward	 1 natural end
Experiment 1	 Episode 278	 54 steps 	150.0 total reward	 1 natural end
Experiment 1	 Episode 279	 51 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 280	 92 steps 	430.0 total reward	 1 natural end
Experiment 1	 Episode 281	 62 steps 	110.0 total reward	 1 natural end
Experiment 1	 Episode 282	 72 steps 	145.0 total reward	 1 natural end
Experiment 1	 Episode 283	 90 steps 	200.0 total reward	 1 natural end
Experiment 1	 Episode 284	 147 steps 	485.0 total reward	 1 natural end
Experiment 1	 Episode 285	 66 steps 	200.0 total reward	 1 natural end
Experiment 1	 Episode 286	 100 steps 	230.0 total reward	 1 natural end
Experiment 1	 Episode 287	 111 steps 	285.0 total reward	 1 natural end
Experiment 1	 Episode 288	 67 steps 	180.0 total reward	 1 natural end
Experiment 1	 Episode 289	 56 steps 	125.0 total reward	 1 natural end
Experiment 1	 Episode 290	 49 steps 	95.0 total reward	 1 natural end
Experiment 1	 Episode 291	 93 steps 	195.0 total reward	 1 natural end
Experiment 1	 Episode 292	 95 steps 	165.0 total reward	 1 natural end
Experiment 1	 Episode 293	 63 steps 	80.0 total reward	 1 natural end
Experiment 1	 Episode 294	 62 steps 	85.0 total reward	 1 natural end
Experiment 1	 Episode 295	 129 steps 	285.0 total reward	 1 natural end
Experiment 1	 Episode 296	 48 steps 	80.0 total reward	 1 natural end
Experiment 1	 Episode 297	 62 steps 	50.0 total reward	 1 natural end
Experiment 1	 Episode 298	 67 steps 	140.0 total reward	 1 natural end
Experiment 1	 Episode 299	 130 steps 	445.0 total reward	 1 natural end
Experiment 1	 Episode 300	 79 steps 	230.0 total reward	 1 natural end
Experiment 1	 Episode 301	 108 steps 	150.0 total reward	 1 natural end
Experiment 1	 Episode 302	 106 steps 	265.0 total reward	 1 natural end
Experiment 1	 Episode 303	 63 steps 	165.0 total reward	 1 natural end
Experiment 1	 Episode 304	 92 steps 	145.0 total reward	 1 natural end
Experiment 1	 Episode 305	 68 steps 	65.0 total reward	 1 natural end
Experiment 1	 Episode 306	 97 steps 	135.0 total reward	 1 natural end
Experiment 1	 Episode 307	 72 steps 	60.0 total reward	 1 natural end
Experiment 1	 Episode 308	 54 steps 	90.0 total reward	 1 natural end
Experiment 1	 Episode 309	 65 steps 	30.0 total reward	 1 natural end
Experiment 1	 Episode 310	 45 steps 	0.0 total reward	 1 natural end
Experiment 1	 Episode 311	 106 steps 	245.0 total reward	 1 natural end
Experiment 1	 Episode 312	 42 steps 	75.0 total reward	 1 natural end
Experiment 1	 Episode 313	 68 steps 	150.0 total reward	 1 natural end
Experiment 1	 Episode 314	 48 steps 	80.0 total reward	 1 natural end
Experiment 1	 Episode 315	 51 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 316	 64 steps 	65.0 total reward	 1 natural end
Experiment 1	 Episode 317	 68 steps 	95.0 total reward	 1 natural end
Experiment 1	 Episode 318	 64 steps 	125.0 total reward	 1 natural end
Experiment 1	 Episode 319	 83 steps 	150.0 total reward	 1 natural end
Experiment 1	 Episode 320	 48 steps 	65.0 total reward	 1 natural end
Experiment 1	 Episode 321	 98 steps 	175.0 total reward	 1 natural end
Experiment 1	 Episode 322	 120 steps 	460.0 total reward	 1 natural end
Experiment 1	 Episode 323	 68 steps 	125.0 total reward	 1 natural end
Experiment 1	 Episode 324	 69 steps 	205.0 total reward	 1 natural end
Experiment 1	 Episode 325	 63 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 326	 69 steps 	205.0 total reward	 1 natural end
Experiment 1	 Episode 327	 63 steps 	80.0 total reward	 1 natural end
Experiment 1	 Episode 328	 114 steps 	230.0 total reward	 1 natural end
Experiment 1	 Episode 329	 96 steps 	155.0 total reward	 1 natural end
Experiment 1	 Episode 330	 163 steps 	600.0 total reward	 1 natural end
Experiment 1	 Episode 331	 70 steps 	225.0 total reward	 1 natural end
Experiment 1	 Episode 332	 59 steps 	210.0 total reward	 1 natural end
Experiment 1	 Episode 333	 66 steps 	225.0 total reward	 1 natural end
Experiment 1	 Episode 334	 94 steps 	290.0 total reward	 1 natural end
Experiment 1	 Episode 335	 69 steps 	145.0 total reward	 1 natural end
Experiment 1	 Episode 336	 83 steps 	160.0 total reward	 1 natural end
Experiment 1	 Episode 337	 94 steps 	230.0 total reward	 1 natural end
Experiment 1	 Episode 338	 123 steps 	370.0 total reward	 1 natural end
Experiment 1	 Episode 339	 83 steps 	175.0 total reward	 1 natural end
Experiment 1	 Episode 340	 68 steps 	120.0 total reward	 1 natural end
Experiment 1	 Episode 341	 84 steps 	215.0 total reward	 1 natural end
Experiment 1	 Episode 342	 68 steps 	120.0 total reward	 1 natural end
Experiment 1	 Episode 343	 64 steps 	85.0 total reward	 1 natural end
Experiment 1	 Episode 344	 65 steps 	130.0 total reward	 1 natural end
Experiment 1	 Episode 345	 101 steps 	185.0 total reward	 1 natural end
Experiment 1	 Episode 346	 66 steps 	65.0 total reward	 1 natural end
Experiment 1	 Episode 347	 39 steps 	0.0 total reward	 1 natural end
Experiment 1	 Episode 348	 70 steps 	30.0 total reward	 1 natural end
Experiment 1	 Episode 349	 45 steps 	0.0 total reward	 1 natural end
Experiment 1	 Episode 350	 39 steps 	0.0 total reward	 1 natural end
Experiment 1	 Episode 351	 53 steps 	0.0 total reward	 1 natural end
Experiment 1	 Episode 352	 51 steps 	0.0 total reward	 1 natural end
Experiment 1	 Episode 353	 42 steps 	0.0 total reward	 1 natural end
Experiment 1	 Episode 354	 63 steps 	5.0 total reward	 1 natural end
Experiment 1	 Episode 355	 39 steps 	0.0 total reward	 1 natural end
Experiment 1	 Episode 356	 63 steps 	50.0 total reward	 1 natural end
Experiment 1	 Episode 357	 68 steps 	15.0 total reward	 1 natural end
Experiment 1	 Episode 358	 53 steps 	0.0 total reward	 1 natural end
Experiment 1	 Episode 359	 70 steps 	105.0 total reward	 1 natural end
Experiment 1	 Episode 360	 63 steps 	0.0 total reward	 1 natural end
Experiment 1	 Episode 361	 48 steps 	0.0 total reward	 1 natural end
Experiment 1	 Episode 362	 127 steps 	220.0 total reward	 1 natural end
Experiment 1	 Episode 363	 62 steps 	45.0 total reward	 1 natural end
Experiment 1	 Episode 364	 100 steps 	515.0 total reward	 1 natural end
Experiment 1	 Episode 365	 95 steps 	185.0 total reward	 1 natural end
Experiment 1	 Episode 366	 65 steps 	100.0 total reward	 1 natural end
Experiment 1	 Episode 367	 96 steps 	195.0 total reward	 1 natural end
Experiment 1	 Episode 368	 68 steps 	120.0 total reward	 1 natural end
Experiment 1	 Episode 369	 96 steps 	175.0 total reward	 1 natural end
Experiment 1	 Episode 370	 115 steps 	235.0 total reward	 1 natural end
Experiment 1	 Episode 371	 66 steps 	120.0 total reward	 1 natural end
Experiment 1	 Episode 372	 69 steps 	185.0 total reward	 1 natural end
Experiment 1	 Episode 373	 71 steps 	325.0 total reward	 1 natural end
