trial: 0
RL-Glue Python Experiment Codec Version: 2.02 (Build 738)
	Connecting to 127.0.0.1 on port 4096...
Experiment 0	 Episode 197	 68 steps 	150.0 total reward	 1 natural end
Experiment 0	 Episode 198	 62 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 199	 42 steps 	50.0 total reward	 1 natural end
Experiment 0	 Episode 200	 95 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 201	 66 steps 	165.0 total reward	 1 natural end
Experiment 0	 Episode 202	 93 steps 	190.0 total reward	 1 natural end
Experiment 0	 Episode 203	 112 steps 	395.0 total reward	 1 natural end
Experiment 0	 Episode 204	 96 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 205	 64 steps 	100.0 total reward	 1 natural end
Experiment 0	 Episode 206	 126 steps 	225.0 total reward	 1 natural end
Experiment 0	 Episode 207	 73 steps 	195.0 total reward	 1 natural end
Experiment 0	 Episode 208	 52 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 209	 67 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 210	 73 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 211	 67 steps 	135.0 total reward	 1 natural end
Experiment 0	 Episode 212	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 213	 48 steps 	60.0 total reward	 1 natural end
Experiment 0	 Episode 214	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 215	 127 steps 	150.0 total reward	 1 natural end
Experiment 0	 Episode 216	 55 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 217	 54 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 218	 68 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 219	 70 steps 	130.0 total reward	 1 natural end
Experiment 0	 Episode 220	 67 steps 	50.0 total reward	 1 natural end
Experiment 0	 Episode 221	 66 steps 	35.0 total reward	 1 natural end
Experiment 0	 Episode 222	 89 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 223	 51 steps 	170.0 total reward	 1 natural end
Experiment 0	 Episode 224	 104 steps 	240.0 total reward	 1 natural end
Experiment 0	 Episode 225	 50 steps 	90.0 total reward	 1 natural end
Experiment 0	 Episode 226	 59 steps 	100.0 total reward	 1 natural end
Experiment 0	 Episode 227	 89 steps 	145.0 total reward	 1 natural end
Experiment 0	 Episode 228	 52 steps 	65.0 total reward	 1 natural end
Experiment 0	 Episode 229	 60 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 230	 97 steps 	190.0 total reward	 1 natural end
Experiment 0	 Episode 231	 95 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 232	 123 steps 	130.0 total reward	 1 natural end
Experiment 0	 Episode 233	 98 steps 	170.0 total reward	 1 natural end
Experiment 0	 Episode 234	 58 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 235	 120 steps 	305.0 total reward	 1 natural end
Experiment 0	 Episode 236	 55 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 237	 128 steps 	230.0 total reward	 1 natural end
Experiment 0	 Episode 238	 66 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 239	 65 steps 	65.0 total reward	 1 natural end
Experiment 0	 Episode 240	 129 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 241	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 242	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 243	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 244	 67 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 245	 66 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 246	 67 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 247	 71 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 248	 68 steps 	100.0 total reward	 1 natural end
Experiment 0	 Episode 249	 67 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 250	 71 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 251	 68 steps 	135.0 total reward	 1 natural end
Experiment 0	 Episode 252	 71 steps 	260.0 total reward	 1 natural end
Experiment 0	 Episode 253	 62 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 254	 99 steps 	130.0 total reward	 1 natural end
Experiment 0	 Episode 255	 87 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 256	 43 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 257	 91 steps 	190.0 total reward	 1 natural end
Experiment 0	 Episode 258	 68 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 259	 69 steps 	170.0 total reward	 1 natural end
Experiment 0	 Episode 260	 57 steps 	80.0 total reward	 1 natural end
Experiment 0	 Episode 261	 63 steps 	90.0 total reward	 1 natural end
Experiment 0	 Episode 262	 96 steps 	230.0 total reward	 1 natural end
Experiment 0	 Episode 263	 56 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 264	 75 steps 	160.0 total reward	 1 natural end
Experiment 0	 Episode 265	 99 steps 	330.0 total reward	 1 natural end
