trial: 0
RL-Glue Python Experiment Codec Version: 2.02 (Build 738)
	Connecting to 127.0.0.1 on port 4096...
Experiment 0	 Episode 286	 63 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 287	 122 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 288	 108 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 289	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 290	 39 steps 	5.0 total reward	 1 natural end
Experiment 0	 Episode 291	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 292	 68 steps 	20.0 total reward	 1 natural end
Experiment 0	 Episode 293	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 294	 49 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 295	 39 steps 	5.0 total reward	 1 natural end
Experiment 0	 Episode 296	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 297	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 298	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 299	 95 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 300	 68 steps 	20.0 total reward	 1 natural end
Experiment 0	 Episode 301	 95 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 302	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 303	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 304	 49 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 305	 49 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 306	 64 steps 	5.0 total reward	 1 natural end
Experiment 0	 Episode 307	 63 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 308	 128 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 309	 63 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 310	 68 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 311	 53 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 312	 70 steps 	15.0 total reward	 1 natural end
Experiment 0	 Episode 313	 49 steps 	0.0 total reward	 1 natural end
Experiment 0	 Episode 314	 68 steps 	0.0 total reward	 1 natural end
