trial: 0
RL-Glue Python Experiment Codec Version: 2.02 (Build 738)
	Connecting to 127.0.0.1 on port 4096...
Experiment 0	 Episode 312	 51 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 313	 83 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 314	 70 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 315	 66 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 316	 67 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 317	 83 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 318	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 319	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 320	 114 steps 	580.0 total reward	 1 natural end
Experiment 0	 Episode 321	 82 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 322	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 323	 69 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 324	 81 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 325	 83 steps 	380.0 total reward	 1 natural end
Experiment 0	 Episode 326	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 327	 71 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 328	 131 steps 	335.0 total reward	 1 natural end
Experiment 0	 Episode 329	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 330	 99 steps 	440.0 total reward	 1 natural end
Experiment 0	 Episode 331	 53 steps 	90.0 total reward	 1 natural end
Experiment 0	 Episode 332	 80 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 333	 54 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 334	 51 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 335	 69 steps 	205.0 total reward	 1 natural end
Experiment 0	 Episode 336	 51 steps 	135.0 total reward	 1 natural end
Experiment 0	 Episode 337	 81 steps 	240.0 total reward	 1 natural end
Experiment 0	 Episode 338	 76 steps 	260.0 total reward	 1 natural end
Experiment 0	 Episode 339	 81 steps 	260.0 total reward	 1 natural end
Experiment 0	 Episode 340	 41 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 341	 62 steps 	150.0 total reward	 1 natural end
Experiment 0	 Episode 342	 122 steps 	360.0 total reward	 1 natural end
Experiment 0	 Episode 343	 100 steps 	460.0 total reward	 1 natural end
Experiment 0	 Episode 344	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 345	 82 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 346	 81 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 347	 37 steps 	85.0 total reward	 1 natural end
Experiment 0	 Episode 348	 92 steps 	485.0 total reward	 1 natural end
Experiment 0	 Episode 349	 65 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 350	 83 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 351	 104 steps 	260.0 total reward	 1 natural end
Experiment 0	 Episode 352	 70 steps 	150.0 total reward	 1 natural end
Experiment 0	 Episode 353	 65 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 354	 118 steps 	310.0 total reward	 1 natural end
Experiment 0	 Episode 355	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 356	 39 steps 	80.0 total reward	 1 natural end
Experiment 0	 Episode 357	 68 steps 	255.0 total reward	 1 natural end
Experiment 0	 Episode 358	 102 steps 	260.0 total reward	 1 natural end
Experiment 0	 Episode 359	 99 steps 	240.0 total reward	 1 natural end
Experiment 0	 Episode 360	 162 steps 	590.0 total reward	 1 natural end
Experiment 0	 Episode 361	 82 steps 	215.0 total reward	 1 natural end
Experiment 0	 Episode 362	 41 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 363	 84 steps 	435.0 total reward	 1 natural end
Experiment 0	 Episode 364	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 365	 101 steps 	470.0 total reward	 1 natural end
Experiment 0	 Episode 366	 66 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 367	 54 steps 	150.0 total reward	 1 natural end
Experiment 0	 Episode 368	 100 steps 	260.0 total reward	 1 natural end
Experiment 0	 Episode 369	 51 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 370	 66 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 371	 52 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 372	 54 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 373	 82 steps 	185.0 total reward	 1 natural end
Experiment 0	 Episode 374	 100 steps 	270.0 total reward	 1 natural end
Experiment 0	 Episode 375	 51 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 376	 110 steps 	410.0 total reward	 1 natural end
Experiment 0	 Episode 377	 99 steps 	550.0 total reward	 1 natural end
Experiment 0	 Episode 378	 88 steps 	260.0 total reward	 1 natural end
Experiment 0	 Episode 379	 86 steps 	230.0 total reward	 1 natural end
Experiment 0	 Episode 380	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 381	 111 steps 	285.0 total reward	 1 natural end
Experiment 0	 Episode 382	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 383	 86 steps 	215.0 total reward	 1 natural end
